task,category,split,a0_rate,a0_stratum,A0_passed,A0_total,A0_rate,B1_passed,B1_total,B1_rate,C21_passed,C21_total,C21_rate,C23_passed,C23_total,C23_rate,BL_LS_passed,BL_LS_total,BL_LS_rate,BL_LF_passed,BL_LF_total,BL_LF_rate,BL_LE_passed,BL_LE_total,BL_LE_rate
aimeII_2001_p3,AIME,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aimeII_2020_p6,AIME,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aimeI_2000_p7,AIME,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aime_1983_p1,AIME,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aime_1983_p2,AIME,Test,0.875,easy,7,8,0.875,7,8,0.875,6,8,0.75,8,8,1.0,8,8,1.0,6,8,0.75,8,8,1.0
aime_1983_p3,AIME,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aime_1983_p9,AIME,Valid,0.0,impossible,0,8,0.0,1,8,0.125,1,8,0.125,0,8,0.0,0,8,0.0,8,8,1.0,7,8,0.875
aime_1984_p1,AIME,Test,0.125,hard,1,8,0.125,2,8,0.25,8,8,1.0,8,8,1.0,4,8,0.5,1,8,0.125,3,8,0.375
aime_1984_p15,AIME,Valid,1.0,easy,8,8,1.0,7,8,0.875,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0,8,8,1.0
aime_1984_p5,AIME,Valid,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aime_1984_p7,AIME,Test,0.0,impossible,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0,0,8,0.0
aime_1987_p5,AIME,Test,0.375,sweet,3,8,0.375,3,8,0.375,1,8,0.125,1,8,0.125,1,8,0.125,0,8,0.0,0,8,0.0
