task,category,split,A0_passed,A0_R1_passed,A1_passed,B1_passed,C1_passed,C11_passed,C2_passed,C21_passed,C22_passed,C23_passed,A1_B1_passed,A1_C11_passed,A1_C23_passed,A1_B1_R1_passed,A1_C11_R1_passed,A1_C23_R1_passed,A0_total,A0_R1_total,A1_total,B1_total,C1_total,C11_total,C2_total,C21_total,C22_total,C23_total,A1_B1_total,A1_C11_total,A1_C23_total,A1_B1_R1_total,A1_C11_R1_total,A1_C23_R1_total,A0_rate,A0_R1_rate,A1_rate,B1_rate,C1_rate,C11_rate,C2_rate,C21_rate,C22_rate,C23_rate,A1_B1_rate,A1_C11_rate,A1_C23_rate,A1_B1_R1_rate,A1_C11_R1_rate,A1_C23_R1_rate
aime_1983_p1,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1983_p2,AIME,Test,7,8,7,7,8,7,7,6,6,8,8,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.875,1.0,0.875,0.875,1.0,0.875,0.875,0.75,0.75,1.0,1.0,0.75,0.75,0.875,1.0,1.0
aime_1983_p3,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1984_p1,AIME,Test,1,4,3,2,3,8,1,8,8,8,5,7,5,2,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.125,0.5,0.375,0.25,0.375,1.0,0.125,1.0,1.0,1.0,0.625,0.875,0.625,0.25,0.625,0.625
aime_1984_p7,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1987_p5,AIME,Test,3,4,3,3,4,1,1,1,3,1,2,2,2,2,3,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.375,0.5,0.375,0.375,0.5,0.125,0.125,0.125,0.375,0.125,0.25,0.25,0.25,0.25,0.375,0.125
aime_1988_p8,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1989_p8,AIME,Test,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,1.0
aime_1990_p15,AIME,Test,8,7,7,7,8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1.0,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0
aime_1990_p4,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1991_p9,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1994_p3,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1995_p7,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1997_p9,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime_1999_p11,AIME,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7,Algebra,Test,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.125,0.125,0.0
algebra_9onxpypzleqsum2onxpy,Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2,Algebra,Test,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_absapbon1pabsapbleqsumabsaon1pabsa,Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1,Algebra,Test,6,6,5,6,4,7,6,5,7,8,8,6,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.75,0.75,0.625,0.75,0.5,0.875,0.75,0.625,0.875,1.0,1.0,0.75,1.0,0.875,1.0,1.0
algebra_amgm_sum1toneqn_prod1tonleq1,Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_amgm_sumasqdivbgeqsuma,Algebra,Test,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
algebra_apbmpcneq0_aeq0anbeq0anceq0,Algebra,Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algebra_apbon2pownleqapownpbpowon2,Algebra,Test,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
